Buyer,Origin,Buy Agree ID,Vendor,Name,Status,Descr,Vt process used,Vt agrmt type,Begin Dt,Expire Dt,Max. Amt,State
AFOSTER,HEA,0000000000000000000028396,0000004187,Gotham City Graphics,Approved,Illustration for WIC Newslette,Sole,Other,3/1/2015,2/14/2018,45000.000,VT
AFOSTER,HEA,0000000000000000000028748,0000342731,Cultural Research Solutions LLC,Approved,competence training,Sole,Other,6/1/2015,7/31/2018,118026.000,VT
AFOSTER,HEA,0000000000000000000028810,0000342419,"Target Solutions Learning, LLC",Approved,"technical support, upgrades",Sole,Info tech,3/1/2015,2/28/2019,225750.000,FL
AFOSTER,HEA,0000000000000000000028921,0000042904,University of Massachusetts,Approved,Medicaid Adm. claiming program,Sole,Info tech,7/1/2015,6/30/2018,311814.000,MA
AFOSTER,HEA,0000000000000000000028952,0000007449,"University of Vermont Medical Center,",Approved,Infectious Disease control,Sole,Prof,7/1/2015,6/30/2018,79000.000,VT
AFOSTER,HEA,0000000000000000000029000,0000042558,Champlain Orthodontic Associates Ltd,Approved,Cleft Palate Program,,,7/1/2015,6/30/2017,6400.000,VT
AFOSTER,HEA,0000000000000000000029089,0000158251,VT Consultants for Language & Learning,Approved,Support for deaf children,,,7/1/2015,6/30/2017,75000.000,VT
AFOSTER,HEA,0000000000000000000029169,0000035991,Policy Integrity,Approved,technical assistance,Sole,Other,7/1/2015,4/30/2018,77700.000,VT
AFOSTER,HEA,0000000000000000000029286,0000278798,Appriss - Government,Approved,VT prescription monitoring sys,Standard,Info tech,6/1/2015,5/31/2018,525508.000,OH
AFOSTER,HEA,0000000000000000000029345,0000007449,"University of Vermont Medical Center,",Open,Pediatric resident rotations,,,8/1/2015,7/31/2017,0.000,VT
AFOSTER,HEA,0000000000000000000029346,0000041864,North Country Hospital and,Approved,Portable hospital system,,,8/1/2015,9/30/2019,0.000,VT
AFOSTER,HEA,0000000000000000000029370,0000013798,"JSI Research & Training Institute, Inc",Approved,Asthma Learning Collaborative,,,9/1/2015,8/31/2017,96000.000,MA
AFOSTER,HEA,0000000000000000000029378,0000041872,Rutland Regional Medical Center,Approved,consultation services,,,6/22/2015,5/31/2017,4000.000,VT
AFOSTER,HEA,0000000000000000000029379,0000156301,First Branch Ambulance & Rescue Service,Approved,Fallscape intervention trainin,,,7/1/2015,5/30/2017,10000.000,VT
AFOSTER,HEA,0000000000000000000029737,0000316374,"Wolfson,Daniel L",Approved,EMS Medical Advisor.,,,9/1/2015,8/31/2017,160000.000,VT
AFOSTER,HEA,0000000000000000000029874,0000346424,"Hark, Inc",Approved,DOH Internet Website,Standard,Info tech,9/1/2015,8/31/2018,163855.000,VT
AFOSTER,HEA,0000000000000000000029877,0000007449,"University of Vermont Medical Center,",Approved,Laboratory Services,,,10/25/2015,10/24/2017,250000.000,VT
AFOSTER,HEA,0000000000000000000029898,0000335293,"Woodruff,Paul A",Approved,Neuromusclar clinic,Simplified,Other,9/7/2015,8/31/2018,44000.000,VT
AFOSTER,HEA,0000000000000000000029910,0000333407,"Poppe,Margaret S.",Approved,RN Child care Wellness,Sole,Prof,9/14/2015,12/31/2017,76200.000,MA
AFOSTER,HEA,0000000000000000000030062,0000287983,Image Trend Inc,Approved,Softward,Standard,Info tech,10/1/2015,9/30/2017,171528.000,MN
AFOSTER,HEA,0000000000000000000030164,0000038902,"Belcher,George K",Approved,Legal services,,,11/18/2015,11/17/2017,80000.000,VT
AFOSTER,HEA,0000000000000000000030206,0000319438,"Deerfield Valley Rescue, Inc.",Open,Fallscape training,,,10/15/2015,9/30/2017,10000.000,VT
AFOSTER,HEA,0000000000000000000030209,0000280174,Center for Behavioral Health,Approved,SBIRT,,,11/1/2015,10/31/2017,1050708.000,VT
AFOSTER,HEA,0000000000000000000030212,0000126152,Middlebury Regional EMS,Open,Fallscape interventions,,,10/15/2015,9/30/2017,10000.000,VT
AFOSTER,HEA,0000000000000000000030469,0000042891,Trustees of Dartmouth College,Approved,tobacco cessation,,,1/21/2016,11/30/2017,14000.000,NH
AFOSTER,HEA,0000000000000000000030491,0000014683,Pacific Institute for Research &,Approved,Strategic Prevention Framework,Sole,Info tech,1/1/2016,12/31/2018,1155580.000,MD
AFOSTER,HEA,0000000000000000000030537,0000007449,"University of Vermont Medical Center,",Approved,Tuberculosis Program,,,2/1/2016,1/31/2018,50000.000,VT
AFOSTER,HEA,0000000000000000000030603,0000272711,GeoWise Limited,Approved,Instant Atlas Server Query Too,Simplified,Info tech,1/21/2016,5/31/2018,26010.000,
AFOSTER,HEA,0000000000000000000030717,0000319438,"Deerfield Valley Rescue, Inc.",Open,Fallscape intervention trainin,,,10/1/2015,8/30/2017,10000.000,VT
AFOSTER,HEA,0000000000000000000030754,0000013798,"JSI Research & Training Institute, Inc",Approved,Obesity prevention services,Simplified,Other,3/1/2016,9/30/2017,46845.000,MA
AFOSTER,HEA,0000000000000000000030794,0000042844,University of Vermont,Approved,Cleft Palate Clinic,,,3/1/2016,2/28/2018,9000.000,VT
AFOSTER,HEA,0000000000000000000030900,0000350827,St Ann's Corner of Harm Reduction,Approved,Opioid misuse prevention work,Simplified,Other,3/15/2016,8/31/2017,184112.000,NY
AFOSTER,HEA,0000000000000000000031027,0000160193,Amicus Sten-Tel,Approved,Transcription Services,Simplified,Info tech,4/1/2016,3/31/2018,28000.000,FL
AFOSTER,HEA,0000000000000000000031131,0000349647,"PCC Technology, Inc.",Approved,Reporting of chemicals in toys,,,12/1/2015,11/30/2017,133356.000,CT
AFOSTER,HEA,0000000000000000000031224,0000041860,Northwestern Medical Center,Approved,Portable Hospital System,,,6/1/2016,9/30/2019,0.000,VT
AFOSTER,HEA,0000000000000000000031292,0000042904,University of Massachusetts,Approved,Oral Health Program,Standard,Prof,7/1/2016,6/15/2018,26000.000,MA
AFOSTER,HEA,0000000000000000000031412,0000341825,University Physicians Inc,Approved,Trainings and support,Standard,Other,7/1/2016,6/30/2018,39718.000,CO
AFOSTER,HEA,0000000000000000000031466,0000128790,"Jeanne Greeblatt, MD",Approved,Child psychiatry consultations,Standard,Prof,7/1/2016,6/30/2018,396000.000,NY
AFOSTER,HEA,0000000000000000000031528,0000017944,National Jewish Health,Approved,Tobacco cessation services,Standard,Other,7/15/2016,7/14/2018,940000.000,CO
AFOSTER,HEA,0000000000000000000031530,0000334963,Vermont Public Health Institute,Approved,support the Task force's work.,Simplified,Other,6/15/2016,5/31/2018,52000.000,VT
AFOSTER,HEA,0000000000000000000031537,0000005744,Vermont Medical Society,Approved,Rehab to health care providers,Standard,Prof,7/1/2016,6/30/2018,196000.000,VT
AFOSTER,HEA,0000000000000000000031561,0000352946,"Cumberland Consulting Group, LLC",Approved,,Standard,Info tech,4/28/2016,8/31/2017,385665.000,TN
AFOSTER,HEA,0000000000000000000031583,0000336300,The Seven Challenges,Approved,Evidence based treatment,Sole,Other,7/1/2016,9/30/2018,93780.000,AZ
AFOSTER,HEA,0000000000000000000031603,0000007425,Lactation Resources of Vermont Inc,Approved,breast pump rentals,Simplified,Prof,7/1/2016,6/30/2018,50000.000,VT
AFOSTER,HEA,0000000000000000000031644,0000227846,HMC Advertising LLC,Approved,Reduce unhealthy behaviors,Standard,Prof,7/1/2016,6/30/2018,655000.000,VT
AFOSTER,HEA,0000000000000000000031648,0000347974,"Rescue Social Change Group, LLC",Approved,Tobacco prevention marketing,Standard,Prof,8/1/2016,6/30/2018,2045022.000,CA
AFOSTER,HEA,0000000000000000000031651,0000341878,"Educational Message Services, Inc.",Approved,Text message system for WIC,Sole,Prof,7/1/2016,6/30/2017,3995.000,CA
AFOSTER,HEA,0000000000000000000031664,0000003771,Vermont Program for Quality in Health,Approved,improve quality of Healthcare,Sole,Info tech,7/1/2016,6/30/2018,1320000.000,VT
AFOSTER,HEA,0000000000000000000031786,0000013798,"JSI Research & Training Institute, Inc",Approved,Evaluation services,Standard,Other,8/1/2016,7/31/2018,579890.680,MA
AFOSTER,HEA,0000000000000000000031843,0000046534,"Behar,Sharon",Approved,Provide strategic planning,Simplified,Other,8/15/2016,9/30/2018,16000.000,VT
AFOSTER,HEA,0000000000000000000031844,0000014683,Pacific Institute for Research &,Approved,Substance Abuse services,Simplified,Prof,8/1/2016,7/31/2018,48951.000,MD
AFOSTER,HEA,0000000000000000000031942,0000345200,"Bannister,Ann A",Approved,RN Child Care Wellness nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000031947,0000341105,"Coleman,Nancy",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000031949,0000344901,"Kitfield,Meredith S",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000031953,0000344902,"Machado,Brenda L",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000031959,0000344900,Lactation & Birthing Solutions,Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000031962,0000334523,"Towne,Karolyn",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000031963,0000344145,"Smith,Deb Lynn",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032008,0000354644,"Marinello,Anne",Approved,RN cild Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032009,0000354645,"Shaw,Theresa",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032010,0000354649,"Mele,Sarah Elizabeth",Approved,,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032011,0000354650,"Axworthy,Mary Pistor",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032013,0000354646,"Gill,Mary",Approved,RN child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032014,0000354648,"Crawford-Stempel,Tanya Nicola",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032015,0000354647,"McMahon,Tara",Approved,RN Child Care Wellness Nurse,Simplified,Prof,8/15/2016,12/31/2017,350000.000,VT
AFOSTER,HEA,0000000000000000000032083,0000073928,Health Research Inc,Open,PFOA testing,Sole,Prof,7/1/2016,9/30/2017,21182.000,NY
AFOSTER,HEA,0000000000000000000032099,0000010924,National Assoc for Public Health,Approved,Vital Events electronic system,Sole,Info tech,8/1/2016,12/31/2017,0.000,MD
AFOSTER,HEA,0000000000000000000032128,0000042114,Children's Hospital Corp,Approved,,Sole,Prof,8/1/2016,6/30/2017,7500.000,MA
AFOSTER,HEA,0000000000000000000032130,0000010924,National Assoc for Public Health,Approved,Statistics and Information,Sole,Other,8/8/2016,12/31/2017,8000.000,MD
AFOSTER,HEA,0000000000000000000032157,0000351805,"Harper-Deas,Sumra",Approved,Child Nurtition services,Standard,Prof,8/15/2016,6/30/2018,45000.000,VT
AFOSTER,HEA,0000000000000000000032218,0000041866,Northeastern Vermont Regional Hospital,Approved,Portable Hospital,Sole,Zero,8/31/2016,9/30/2019,0.000,VT
AFOSTER,HEA,0000000000000000000032222,0000355242,National Opinion Research Center,Approved,Evaluation services,Standard,Other,9/1/2016,6/30/2018,566000.000,IL
AFOSTER,HEA,0000000000000000000032307,0000013798,"JSI Research & Training Institute, Inc",Approved,Oral Health,Simplified,Other,9/15/2016,8/31/2018,27000.000,MA
AFOSTER,HEA,0000000000000000000032346,0000046534,"Behar,Sharon",Approved,structure organization,Simplified,Prof,9/15/2016,12/31/2017,15000.000,VT
AFOSTER,HEA,0000000000000000000032356,0000293685,ReGeneration Resouces,Approved,Leadership consultant.,Simplified,Other,9/19/2016,8/31/2017,15000.000,VT
AFOSTER,HEA,0000000000000000000032385,0000330563,"Everbridge, Inc",Approved,distribute mass notifications,Standard,Other,9/1/2016,6/30/2018,55335.000,CA
AFOSTER,HEA,0000000000000000000032395,0000347974,"Rescue Social Change Group, LLC",Approved,reduce binge drinking in youth,Standard,Marketing,9/30/2016,8/31/2018,200000.000,CA
AFOSTER,HEA,0000000000000000000032407,0000042550,"The Brigham and Women's Hospital, Inc",Open,antibiotic resistant organisms,,,10/1/2016,3/31/2018,190000.000,MA
AFOSTER,HEA,0000000000000000000032435,0000013798,"JSI Research & Training Institute, Inc",Approved,facilitation services,Standard,Other,10/1/2016,8/31/2017,40500.000,MA
AFOSTER,HEA,0000000000000000000032453,0000014948,Stericycle Inc,Approved,Hazardous waster pickup,Standard,Other,11/15/2016,11/14/2018,40000.000,IL
AFOSTER,HEA,0000000000000000000032483,0000041963,Brattleboro Memorial Hospital,Approved,Medical Surge Supplies Trailer,Sole,Zero,10/1/2016,6/30/2018,0.000,VT
AFOSTER,HEA,0000000000000000000032485,0000041857,Central Vermont Medical Center Inc,Open,Medical Surge Trailer,,,10/1/2016,6/30/2018,0.000,VT
AFOSTER,HEA,0000000000000000000032496,0000041863,Windsor Hospital Corporation,Open,Medical surge supplies trailer,,,10/1/2016,6/30/2018,0.000,VT
AFOSTER,HEA,0000000000000000000032511,0000000643,Vermont C A R E S,Approved,Ethnographic evaluation,Sole,Other,3/15/2016,8/31/2017,72671.230,VT
AFOSTER,HEA,0000000000000000000032525,0000041860,Northwestern Medical Center,Open,Medical Surge supply trailers,,Zero,10/1/2016,6/30/2018,0.000,VT
AFOSTER,HEA,0000000000000000000032594,0000329574,"Brown,Erica Renea",Approved,Oral health survey,Standard,Other,10/15/2016,6/30/2017,30000.000,VT
AFOSTER,HEA,0000000000000000000032638,0000041993,Association of State & Territorial,Approved,Technical assistance,Standard,Other,10/22/2016,6/30/2017,1500.000,NC
AFOSTER,HEA,0000000000000000000032661,0000355833,"Caso, Inc.",Approved,Survey booklet layout/printing,Sole,Other,12/1/2016,11/30/2017,45980.100,TX
AFOSTER,HEA,0000000000000000000032700,0000003053,Southwestern Vermont Health Care Corp,Approved,Medical Surge Supply trailer,Sole,Zero,12/1/2016,6/30/2018,0.000,VT
AFOSTER,HEA,0000000000000000000032735,0000042550,"The Brigham and Women's Hospital, Inc",Approved,Surveillance of organisms,Standard,Other,11/15/2016,10/31/2018,280000.000,MA
AFOSTER,HEA,0000000000000000000032742,0000041864,North Country Hospital and,Approved,Medical Surge supplies trailer,Sole,Zero,12/5/2016,6/30/2018,0.000,VT
AFOSTER,HEA,0000000000000000000032838,0000352946,"Cumberland Consulting Group, LLC",Approved,Vermont Immunization Registry,Standard,Other,1/1/2017,12/31/2018,246760.000,TN
AFOSTER,HEA,0000000000000000000032840,0000016502,Macro International Inc,Approved,Behavioral Risk Surveillance,Standard,Other,12/15/2016,2/28/2018,465943.000,IL
AFOSTER,HEA,0000000000000000000032846,0000325844,KidsVax.org,Approved,vaccine reimbursement,Standard,Other,1/1/2017,12/31/2021,900762.000,NH
AFOSTER,HEA,0000000000000000000032847,0000038432,"Cooke,Catherine",Approved,Cleft Palate Clinics,Sole,Prof,12/15/2016,11/30/2017,9000.000,VT
AFOSTER,HEA,0000000000000000000032849,0000003590,Vermont Retail & Grocers Association,Approved,reimbursement for coupons,Standard,Other,1/1/2017,9/30/2017,118140.000,VT
AFOSTER,HEA,0000000000000000000032876,0000282655,"McManmon,Kasey",Approved,Registered dietitian.,Standard,Prof,12/15/2016,6/30/2018,100000.000,VT
AFOSTER,HEA,0000000000000000000032888,0000000893,Aquaterra,Approved,Community Water Fluoridation,Simplified,Other,12/15/2016,8/31/2018,30000.000,VT
AFOSTER,HEA,0000000000000000000032948,0000017431,Bennington Rescue Squad,Approved,Portable hospital trailers,Sole,Other,2/1/2017,12/1/2017,9000.000,VT
AFOSTER,HEA,0000000000000000000032950,0000001669,Bio-Medic Appliances Inc,Open,certified orthotist & prosthet,,,1/1/2017,12/31/2017,2000.000,VT
AFOSTER,HEA,0000000000000000000032954,0000003771,Vermont Program for Quality in Health,Approved,patient safety monitoring syst,Standard,Info tech,3/17/2017,12/31/2018,160800.000,VT
AFOSTER,HEA,0000000000000000000033084,0000110590,EMSystems LLC,Approved,Incident Management,Standard,Info tech,3/1/2017,6/30/2019,275268.320,WI
AFOSTER,HEA,0000000000000000000033097,0000154591,"Thetford Volunteer Fire Department, Inc",Open,Training for EMS agencies,,,1/23/2017,9/30/2018,17400.000,VT
AFOSTER,HEA,0000000000000000000033190,0000358071,Holistic Living,Approved,Nutrition Consultant,Simplified,Prof,2/15/2017,6/30/2018,40000.000,VT
AFOSTER,HEA,0000000000000000000033194,0000358072,"DesLauriers,Chassidy",Approved,Nutrition Consultant,Simplified,Prof,2/15/2017,6/30/2018,40000.000,VT
AFOSTER,HEA,0000000000000000000033198,0000343051,"Cambridge Rescue Squad, Inc",Open,Prevention program,,,3/1/2017,9/30/2018,17400.000,VT
AFOSTER,HEA,0000000000000000000033201,0000359062,Hilton Burlington,Approved,EMS Conference,Simplified,Other,11/6/2017,11/12/2017,80000.000,VT
AFOSTER,HEA,0000000000000000000033205,0000163564,Royalton Fire District #1,Open,EMS trainings,,,3/1/2017,9/30/2018,17400.000,VT
AFOSTER,HEA,0000000000000000000033237,0000007449,"University of Vermont Medical Center,",Open,Resident rotation,Sole,Zero,5/1/2017,4/30/2019,0.000,VT
AFOSTER,HEA,0000000000000000000033285,0000359209,"Norton,Angela Ruth",Approved,Nutrition Consultant,Simplified,Prof,3/6/2017,6/30/2018,40000.000,VT
AFOSTER,HEA,0000000000000000000033291,0000359047,"Flemming,Phoebe K",Approved,Nutrition Consultant,Simplified,Prof,3/6/2017,6/30/2018,40000.000,VT
AFOSTER,HEA,0000000000000000000033312,0000359411,Land Air Express,Approved,Delivery of car seats,Simplified,Other,6/1/2017,12/31/2018,20000.000,NH
AFOSTER,HEA,0000000000000000000033320,0000359698,Formativ Health,Approved,Process claims for tests,Standard,Info tech,4/1/2017,3/31/2019,60000.000,NY
AFOSTER,HEA,0000000000000000000033339,0000003771,Vermont Program for Quality in Health,Approved,Outpatient providers in VT,Standard,Other,4/1/2017,3/31/2019,200000.000,VT
AFOSTER,HEA,0000000000000000000033364,0000309382,All Clear Emergency Management Group LLC,Approved,VT Crisis Standards of Care,Standard,Other,5/1/2017,5/31/2018,68150.000,NC
AFOSTER,HEA,0000000000000000000033433,0000347974,"Rescue Social Change Group, LLC",Approved,Marketing,Standard,Info tech,5/1/2017,4/30/2019,3290331.550,CA
AFOSTER,HEA,0000000000000000000033440,0000327933,Johnson Group Consulting Inc,Approved,Consultation,Simplified,Other,4/7/2017,2/28/2018,15000.000,VT
AFOSTER,HEA,0000000000000000000033444,0000329359,"Frawley,Patrick J Ph D",Approved,Pediatric Consultation,Simplified,Other,5/22/2017,5/21/2019,20000.000,VT
AFOSTER,HEA,0000000000000000000033460,0000013798,"JSI Research & Training Institute, Inc",Approved,Infant Safe Sleep,Standard,Other,4/21/2017,4/20/2018,100000.000,MA
AFOSTER,HEA,0000000000000000000033688,0000290533,Occupational & Public Health Consulting,Approved,guidelines for home based care,Standard,Other,5/15/2017,8/15/2017,15000.000,VT
AFOSTER,HEA,0000000000000000000033724,0000360826,"Liberty Creek, Inc",Approved,Managing SBIRT website,Simplified,Info tech,6/15/2017,6/14/2018,30000.000,VT
AFOSTER,HEA,0000000000000000000033789,0000005391,Priority Express,Approved,Lab specimen courier services,Standard,Other,5/22/2017,5/21/2019,35000.000,VT
AFOSTER,HEA,0000000000000000000033900,0000361653,Lakeshore Foundation,Approved,Disability awareness training,Standard,Other,7/1/2017,6/30/2018,2400.000,AL
AFOSTER,HEA,0000000000000000000033938,0000007449,"University of Vermont Medical Center,",Approved,Antibiotic stewardship initiat,Standard,Other,7/1/2017,6/30/2019,307939.000,VT
AFOSTER,HEA,0000000000000000000033986,0000359345,Orwell First Response Rescue Squad,Open,,,,6/15/2017,6/14/2018,10000.000,VT
AFOSTER,HEA,0000000000000000000033988,0000001622,"Capitol Court Reporters, Inc",Approved,Transcription Services,Simplified,Other,6/30/2017,6/29/2019,65000.000,VT
AFOSTER,HEA,0000000000000000000034135,0000342809,Peacham Volunteer Fire Dept,Open,"Training, intervention",,,7/1/2017,9/30/2018,10000.000,VT
AFOSTER,HEA,0000000000000000000034454,0000013798,"JSI Research & Training Institute, Inc",Approved,2018 VT Immunization Conferenc,Standard,Other,9/1/2017,8/30/2018,44000.000,MA
AFOSTER,HEA,0000000000000000000034562,0000309382,All Clear Emergency Management Group LLC,Approved,2017 EMS Conference,Simplified,Other,8/31/2017,2/1/2018,97000.000,NC
AFOSTER,HEA,0000000000000000000034603,0000132542,"Bress,William",Approved,Complex clinical testing,Standard,Other,10/1/2017,9/30/2019,28000.000,SC
AFOSTER,HEA,0000000000000000000034612,0000308981,Nurse-Family Partnership,Open,Home visiting to new mothers,,,8/1/2017,7/30/2018,12037.000,CO
AFOSTER,HEA,0000000000000000000034619,0000299619,"MicroPact Global, Inc",Open,software license agreement,,,10/1/2017,9/30/2019,100000.000,TN
AFOSTER,HEA,0000000000000000000034722,0000364148,"Frachella,John C",Approved,Dental Training,Standard,Other,9/1/2017,11/15/2017,2000.000,OR
AFOSTER,HEA,0000000000000000000034724,0000290985,"Scheuerle,Angela Elizabeth",Approved,birth defects diagnoses,Standard,Other,10/1/2017,9/30/2019,15000.000,TX
AFOSTER,HEA,0000000000000000000034868,0000343828,"Green Mountain Self-Advocates, Inc.",Approved,Disability program,Standard,Other,10/1/2017,6/30/2019,27649.000,VT
AFOSTER,HEA,0000000000000000000034922,0000293035,Image Farm Inc,Open,Limited English WIC families,,,9/30/2017,9/29/2018,50000.000,VT
AFOSTER,HEA,0000000000000000000034939,0000364152,Georgia Campaign for Adolescent Power,Approved,Teen sexual health classes,Simplified,Other,10/1/2017,11/30/2017,9500.000,GA
AFOSTER,HEA,0000000000000000000034945,0000364823,"Society for Public Health Education, Inc",Approved,SCRIPT intervention training,Sole,Other,10/1/2017,11/15/2017,10000.000,DC
AFOSTER,HEA,0000000000000000000034953,0000333708,Counter Tools,Approved,VKAT training project,Standard,Other,10/1/2017,12/31/2017,3500.000,NC
AFOSTER,HEA,0000000000000000000035016,0000364826,"Assured Waste Solutions, LLC",Open,Drug disposal kiosks,,,11/1/2017,10/31/2018,49625.000,NC
AFOSTER,HEA,0000000000000000000035124,0000293035,Image Farm Inc,Open,Graphic Design Project for VDH,,,11/30/2017,11/29/2019,100000.000,VT
AFOSTER,HEA,0000000000000000000035127,0000001905,Oh! Suzannah,Open,Graphic design project for VDH,,,11/30/2017,11/29/2019,60000.000,VT
AGEE,DPS,0000000000000000000026292,0000013027,Fire Tech & Safety,Approved,Equipment Maintenance,Simplified,Other,7/1/2014,6/30/2018,18749.000,ME
AGEE,DPS,0000000000000000000027348,0000326304,"Chorus Call, Inc",Approved,conferencing services,Sole,Prof,8/1/2014,7/31/2018,25000.000,PA
AGEE,DPS,0000000000000000000027809,0000010396,Harris Corporation,Approved,Comm Service Mnx,Sole,Info tech,11/1/2014,10/31/2021,718670.750,IL
AGEE,DPS,0000000000000000000029335,0000307051,Carousel Industries of North America Inc,Approved,Mnx & Support,Sole,Info tech,1/1/2015,12/31/2021,377216.400,RI
AGEE,DPS,0000000000000000000030075,0000282432,SpeakWrite LLC,Approved,Trascriptions,Sole,Prof,4/1/2016,3/31/2018,95000.000,TX
AGEE,DPS,0000000000000000000030086,0000344661,PIF Technologies,Approved,Doc Management,Standard,Info tech,10/1/2015,9/30/2020,343385.000,NH
AGEE,DPS,0000000000000000000030501,0000344921,"Technology Enterprise Group, Inc",Approved,E-Ticket Sys,Standard,Info tech,1/1/2016,2/28/2018,137000.000,PA
