LTCR,RUFF,RUT,ALCR,AADT,Treatment,Base,Years since Work,Actual LTCR,Actual RUFF,Actual RUT,Actual ALCR
19.5765,0.571,30.603,66.904,710,OVL,TONS,18,19.57620924,0.571211753,27.8407224,66.904
89.562,70,84.41,84.058,11444,MAF,THCK,3,91.20766985,73.67748667,84.01685767,82.664
17.51333333,13.18,79.34,84.24,4200,MAF,AONC,12,12.20900383,24.08903925,76.32358209,78.868992
70.17019,71.54261,70.29886,74.85492,3700,OVL,AONC,7,70.45702993,71.63812532,70.92787396,74.99676
28.97,23.883,42.014,71.041,1200,OVL,TONS,16,28.21305006,23.37470036,41.24388873,70.8525104
70.15439446,27.70539792,47.68610879,54.16512111,5826,REC,THCK,18,71.44344935,29.51463869,32.74050224,58.7325
99.03671329,99.60489511,66.76251748,54.93797203,5092,OVL,TONS,8,99.04825326,99.61648433,67.40396691,55.18580629
65.6929771,76.5980916,47.84656489,42.55419847,6800,MAF,AONC,4,65.69479757,76.59617086,47.85861044,42.55419847
95.349,95.301,84.193,69.871,4300,MAF,THCK,10,100,100,82.08760032,80.3
17.613,56.9875,65.5605,68.874,4346,PAO,TONS,11,17.61287144,56.98795135,66.26957938,68.874
99.371,97.234,82.784,81.695,14250,MAF,THCK,3,99.34174681,98.08839251,83.45689527,79.118
89.7855,94.7505,76.5945,83.058,1800,OVL,TONS,8,89.37296452,94.46192339,77.26756218,83.3687872
13.9625,5.71,58.013,76.754,910,OVL,TONS,15,14.38950835,5.764356282,58.19767112,76.7694448
1.1535,1.134,20.137,48.977,1500,OVL,TONS,14,1.140002271,1.134234616,15.86978903,48.708095
92.632,96.348,80.0629,78.90524,5367,OVL,THCK,14,96.1635808,99.32834614,81.4013729,74.706185
100,100,83.52438776,94.67234694,2800,OVL,THCK,1,96.26240942,98.29672392,83.94173068,73.602
0.420277078,7.155969773,31.81350126,50.24472623,4300,CROL,TONS,15,0.902848998,7.638374929,24.34950205,42.80727758
42.6345,23.9125,63.268,80.3,1100,OVL,TONS,13,42.02577438,24.27222287,64.00409243,80.1576872
75.52,69.68,44.7,88.18,7100,MAF,TONS,5,72.53549508,62.19912932,46.1751588,88.1012
74.14076233,80.5864574,63.21982063,68.83336323,6300,OVL,TONS,9,73.52042261,80.60894284,63.8211342,68.9835426
98.99016958,97.28255,76.945,90.5834,6098,MAF,THCK,1,92.9843884,79.30528914,83.60899988,88.30214
8.872,31.507,25.46,64.934,960,OVL,TONS,21,8.872225262,31.50556316,23.17186996,64.934
21.14,0,76.88,72.42,2600,OVL,TONS,12,39.44973342,1.665587795,76.04782598,80.7728
15.0425,29.1205,54.6175,74.193,2800,OVL,TONS,18,15.2306875,29.31470057,54.86087058,74.0382762
17.827,8.706,57.525,76.951,1504,OVL,TONS,13,19.11350472,8.429955077,58.47573512,77.2331434
90.026,98.6285,81.697,92.317,4300,OVL,TONS,4,90.72346532,98.09713741,82.00434956,91.9704376
64.67333333,60.788,67.76933333,73.996,2600,OVL,TONS,12,32.74481278,44.41339592,63.76339433,63.0034
84.6165,84.241,76.7605,66.116,4855,OVL,AONC,9,84.61627587,84.24030057,76.85872979,66.116
5.324087591,54.33636496,58.33581102,70.42986861,2120,OVL,TONS,8,5.323602844,54.193692,59.84667505,70.55065693
15.98657205,3.286572052,33.86969432,69.84781659,780,OVL,TONS,18,16.1063169,3.402861177,33.04098433,69.95104804
93.526,50.167,84.435,83.02,8700,MAF,THCK,3,93.82212533,56.79671415,83.5766091,78.921
66.15002,64.79001,72.83932,76.15512,1900,CROL,TONW,11,66.66727022,64.86957272,73.66787906,75.873016
49.32614815,0,56.0757037,60.86266667,3900,OVL,THCK,22,48.47685991,0.646400277,55.55138781,58.92185185
94.528,82.57,81.667,62.961,14750,MAF,THCK,11,100,100,84.59241133,94.9765
61.42274,70.7666,76.97908,79.81538,4000,OVL,AONC,7,61.37105228,70.76656596,77.08994864,79.898908
62.62603175,61.76968254,53.1752381,34.88631579,7000,OVL,TONS,18,63.97473959,61.84973129,52.70946381,20.51063492
7.781649485,14.69072165,30.17206186,62.26536083,16400,OVL,TONS,32,66.45051636,63.9214493,63.0256116,67.0701299
87.651,86.914,78.8,82.073,4300,OVL,AONC,36,87.65089947,86.91430809,78.88335733,82.073
95.1205,100,74.759,70.844,3300,PAO,TONS,5,94.38805405,99.9809369,74.53690701,70.2772704
46.70258242,18.98626374,49.0543956,69.86549451,5100,OVL,TONS,13,45.2920541,16.5828738,47.4794867,70.52403736
29.26407407,38.39925926,7.138703704,64.54,8400,MAF,AONC,13,33.06050464,39.0964489,29.50146971,66.99593333
99.95425,100,78.821,92.908,550,OVL,TONS,1,99.8380744,99.83649349,78.70946975,92.76616
96.9245,100,84.7356,95.666,4800,OVL,THCK,0,95.88721147,65.80052513,84.69265389,90.347
100,100,40.291875,88.968,1400,OVL,TONS,9,100,100,40.71272747,88.9285606
99.854,97.567,81.362,81.56,14376,MAF,THCK,3,99.82165568,96.85228959,80.35272057,79.118
29.75475285,40.08174905,52.31015209,53.49901141,3990,OVL,AONC,15,30.97365164,39.60621862,53.79688383,54.06476844
97.58430868,99.51215434,67.50562701,84.78475884,19840,OVL,TONS,31,97.57902574,99.45455992,68.23523051,84.45714341
11.044,9.3985,49.2095,70.45,913,OVL,TONS,15,10.83994149,9.561952572,52.51979479,70.5923128
57.26,42.419,79.913,56.561,2700,OVL,THCK,20,56.16897503,21.83649208,77.53223446,25.731
94.347,53.176,85.212,82.286,2900,MAF,THCK,9,81.40023086,67.83743643,84.72596671,87.392
8.681564246,30.64273743,69.27363129,70.21888268,2800,OVL,THCK,14,8.680571686,30.34563805,69.39174087,69.98776536
100,100,73.67152305,91.73310621,3600,MAF,THCK,1,100,100,74.23233588,91.72915832
97.16,100,74.88,72.42,3000,REC,THCK,7,93.55729487,97.46502276,72.37157613,73.799
100,100,83.42724,98.51068,447,MAF,TONS,0,100,100,83.46224925,98.51068
98.873,62.002,84.291,82.036,6700,MAF,THCK,5,94.26067044,71.03576242,83.64611617,73.996
27.68423898,95.94146515,71.35103841,75.43524893,1800,OVL,TONW,10,27.13667108,95.87052896,71.55481939,75.26257269
64.42484,69.2242,71.9399,71.632,6154,OVL,TONS,9,63.80432214,68.96795892,73.19419346,71.54138
72.8145,70.682,78.426,80.497,3900,OVL,AONC,9,72.81413739,70.68252063,78.45943912,80.497
95.48430267,95.89109792,75.08080119,60.30771513,6685,OVL,TONS,8,91.65925624,95.99410798,78.01338194,53.5968546
65.88427536,52.47047101,74.69027668,77.5734058,4397,OVL,THCK,14,65.65237706,52.57050365,74.58735443,77.21741227
56.44115761,61.56186999,55.52409091,73.20238647,2100,OVL,TONS,12,56.44138212,61.56219508,57.29585403,73.20238647
95.961,49.57,84.635,90.901,6700,MAF,THCK,4,89.41419865,61.57732008,84.67854878,86.013
83.92175,100,82.8754,97.91968,960,OVL,TONS,0,100,100,82.8978519,97.91968
44.77950182,95.20844471,66.27584447,54.57749696,7899,OVL,TONW,8,44.36260465,95.2058724,66.61547136,54.19211422
95.007,79.8985,81.621,73.602,7100,OVL,THCK,8,93.55121618,76.42072102,81.67491946,71.041
22.78322917,49.93177083,24.34210526,58.506875,1500,OVL,TONS,14,22.58744508,50.03544522,20.54030206,57.73529167
94.63718593,99.5836,82.7055,96.8259,19925,MAF,THCK,0,99.70441664,99.21512278,82.3970757,83.452
87.184,38.801,82.566,86.075,5950,MAF,THCK,8,100,100,85.53652493,99.606
73.1395,95.101,75.2735,73.799,4500,PAO,TONS,9,72.59757269,95.15879131,74.89684719,73.536005
22.2425,46.9715,57.264,66.116,1200,OVL,TONS,10,22.51950551,47.29414694,58.38472789,66.2089446
34.089,90.7475,54.6285,81.482,730,PAO,TONW,15,34.08878454,90.74792188,55.94985885,81.482
86.66892857,78.35267857,74.57125,73.33464286,4400,OVL,THCK,15,76.31171343,64.75841302,73.25866535,70.24666786
49.294,65.838,61.142,76.754,1300,OVL,TONS,9,47.67934463,64.9202221,62.85331231,76.3795424
98.46153846,100,82.55531469,79.11524476,3900,PAO,TONS,7,98.09034606,97.59690218,79.76676029,77.89963077
69.79097686,82.10627249,77.38385604,53.51002571,5300,OVL,AONC,9,69.88647491,82.06995328,77.57260544,54.06709512
89.39,100,80.4705814,96.06,3700,MAF,TONW,0,99.97116099,100,51.63515048,85.93477267
76.0205,87.3205,81.736,76.163,9000,MAF,THCK,16,79.25592944,90.70522544,81.45766846,72.29392
13.157,21.861,51.2605,66.116,3150,OVL,THCK,16,13.15707242,21.86132044,51.26310917,66.116
40.043,34.1785,61.7575,69.465,2200,OVL,TONW,7,40.83101714,34.29169297,63.12499661,69.729768
95.478,98.134,84.932,83.621,2350,MAF,THCK,7,97.9864588,97.75932343,84.54407148,81.482
99.38922201,95.43548387,81.78736243,79.89628084,4757,OVL,THCK,4,99.31030893,95.37731212,81.77670979,79.61876129
99.447,97.965,80.217,82.817,8800,MAF,THCK,2,98.71504734,94.29286402,81.99545563,80.3
55.575,84.845,67.344,78.921,680,OVL,TONS,23,55.57472612,84.84363898,67.71200983,78.921
64.6695,95.813,66.214,74.784,4800,OVL,TONS,8,64.77108362,95.73997166,66.87628557,74.7384536
98.932,94.267,85.583,82.963,12900,MAF,THCK,4,99.16469734,96.33721183,84.34071181,60.6
99.819,82.516,80.481,79.97,7100,OVL,THCK,5,100,100,86.23542223,100
0,0,20.40894737,62.176,920,OVL,TONS,16,0,0,16.61921352,62.242192
48.75,51.9545,53.051,80.497,990,OVL,TONW,25,48.75046136,51.95406394,51.92152949,80.497
99.87482,99.95072,77.25232,81.09588,23526,MAF,TONS,2,99.63523643,97.28536861,77.63602535,73.221396
59.81796296,63.59111111,43.46888889,63.81037037,3472,MAF,AONC,11,59.2884047,63.06621292,47.2023382,63.56959259
82.7515,46.1795,77.6725,81.088,4623,OVL,AONC,9,83.05146413,46.1474081,77.89444424,81.088
63.31619916,55.84807854,25.51918654,29.82877828,16700,OVL,AONC,20,63.68793083,55.04996571,21.45439529,27.15597588
98.5335,100,85.4727,99.606,14376,MAF,THCK,0,99.3079673,93.43278343,85.08650674,88.18
93.12301887,91.03301887,30.38,75.5918239,14763,MAF,AONC,10,93.78671717,91.53945154,7.365781301,74.16053837
11.753,14.24,56.0985,69.662,872,PAO,TONS,16,11.54116558,13.87588368,56.38404428,69.5958474
55.05831135,39.3853562,40.74423483,56.45208443,8308,OVL,TONS,10,55.11362001,38.16089605,40.39942048,55.86046069
96.1726,99.10705,81.1918,83.4323,6731,PAO,TONW,2,95.74602481,100,82.23251214,78.9165872
85.64180769,76.18311539,36.10365385,56.88730769,7840,OVL,AONC,0,85.94341345,76.48531554,35.81251236,56.75395385
100,96.465,84.51765625,77.8990625,6100,OVL,THCK,8,99.70594991,96.3431234,84.80807015,76.158075
100,100,85.43278,98.424,550,MAF,TONS,0,100,100,85.44280317,98.424
58.9515,39.281,72.618,79.315,1900,OVL,TONS,10,58.92903867,39.27675272,72.90919364,79.3074352
15.87269939,2.824386503,34.83230061,63.59730061,2700,OVL,TONW,12,16.36966053,3.544303222,30.20397019,64.00918773
42.48737527,56.73822126,41.66466377,55.38655098,3200,OVL,AONC,15,41.87465462,55.87413794,42.47198429,55.21027657
96.56638,99.9475,71.0433,90.31548,2300,OVL,TONS,2,96.58739513,99.94750478,71.55499433,90.2377832
41.24263158,39.17473684,54.96125,57.69684211,5700,PAO,THCK,12,39.31146628,38.09794908,55.02888535,56.857
96.386,67.935,85.932,88.236,7750,MAF,THCK,4,98.23972988,79.63632686,85.89576105,78.921
32.6885,27.573,76.459,75.178,5200,OVL,THCK,14,100,100,85.09683575,100
7.5575,0.7775,49.2325,60.994,1200,OVL,AONC,18,7.152286438,0.726584313,51.60668785,60.8241072
98.769,78.667,84.227,79.902,12450,MAF,THCK,5,99.12677675,88.50786269,84.20633994,60.6
12.02784861,35.92639442,58.81998008,58.36314741,2447,MAF,AONC,9,12.07309171,36.01917141,59.24153854,58.37601912
74.28076,82.70777,75.66707,82.47094,1811,CROL,TONW,11,73.96472704,82.22903859,75.38406355,82.513886
71.8745,77.7675,78.2615,71.829,3992,OVL,AONC,9,71.87471251,77.76755319,78.50446717,71.829
59.1465,73.628,65.3565,79.906,1451,OVL,TONW,7,58.80664695,74.03659988,66.32709843,79.4729152
17.29718475,16.96618768,49.29328446,70.75618768,2400,OVL,TONS,14,18.26773212,18.24938261,51.78974573,71.03418299
100,100,82.74,91.726,1800,PAO,TONS,1,100,100,82.81442529,91.726
85.62003656,84.26449726,66.48724346,83.35404022,2700,MAF,AONC,2,86.27601728,84.94197371,66.55682401,83.50976746
99.8955,100,72.41011,88.41246,10233,OVL,TONS,0,99.91308848,100,72.6791316,88.346268
96.52494,87.31666,81.70926,69.662,6300,OVL,THCK,10,96.42874138,87.40600292,81.72318348,69.7263008
70.85768,91.51772,74.42018,75.86356,4023,OVL,TONS,10,70.25607145,91.77723578,75.00954092,75.9091064
51.24666,96.59726,70.4701,72.814,4700,OVL,TONW,6,50.80200548,96.51759929,70.80205482,72.7315358
0,0,38.81855346,70.95798742,2200,OVL,THCK,15,0,0,37.29085263,69.94201258
71.1465,67.587,59.9965,82.27,2800,OVL,TONW,0,71.56443171,68.32821128,59.89906653,82.2409228
39.82879377,87.11202335,64.75680934,79.33416342,910,REC,THCK,17,39.83008896,86.85349875,57.92427629,76.69727627
80.5615,67.811,81.846,77.542,11100,OVL,THCK,7,77.88556928,69.24962782,82.55625901,74.0133754
46.8345,74.88,55.1345,67.889,3700,OVL,TONS,11,46.83431429,74.87982027,56.16537838,67.889
56.58697183,55.53774648,54.20049296,80.85492958,1900,REC,THCK,19,60.86158505,56.21853738,54.2936564,81.35089789
35.239,21.8425,42.345,43.264,5400,OVL,TONS,11,35.23863722,21.8430664,42.02222762,43.264
2.0325,57.3695,57.713,48.78,1200,HROL,TONS,8,2.032519336,57.36947464,58.11963897,48.78
91.37348558,100,82.64074519,97.00711539,9245,MAF,THCK,0,100,100,82.66763605,94.52169519
93.7975,89.8315,78.438,82.861,3000,OVL,TONS,10,93.75487998,89.78161224,78.2214407,82.7539896
86.04139344,81.79284153,80.22043716,78.31923497,9000,OVL,AONC,8,80.20434818,79.99316235,80.76568825,76.03920219
99.6456,99.42535,82.2225,87.4117,5300,PAO,TONW,2,91.00928248,99.68662808,83.0105686,83.7791776
99.381,98.9435,76.596,90.544,990,OVL,TONS,2,99.38126279,98.94444586,76.72578655,90.544
97.25736842,94.52421053,71.68578947,73.04210526,4800,MAF,THCK,4,96.85611079,91.23436694,66.21590624,74.193
72.21040146,72.61051095,18.884,86.03744526,520,OVL,TONW,7,72.20950035,72.60975427,12.92312335,86.03744526
77.57333333,39.68111111,70.71333333,77.59,9444,OVL,THCK,22,100,96.76730104,85.38287779,95.00408
25.24620991,10.33294461,35.94556851,43.56495627,3142,OVL,THCK,11,24.51958629,10.49172317,35.44287986,43.21598484
5.6655,0,9.8215,41.097,2400,REC,THCK,18,5.665534747,0,8.71520089,41.097
19.16848,44.14049,23.81234,55.86412,2400,OVL,TONS,14,18.67863538,44.59874561,17.2966144,55.47406
51.2001957,16.02878669,67.39252446,71.26344423,4900,OVL,TONS,13,50.41777686,16.39085169,67.46366136,70.71461996
1.414,30.989,13.7565,39.58666667,1430,PAO,TONS,16,1.414288923,30.98810134,12.09813452,33.217
1.114,64.2075,16.1415,41.31473684,1700,OVL,TONS,18,1.011145891,63.46367068,10.47981577,37.5755856
91.33666667,90.34727273,82.45272727,80.18060606,9900,OVL,TONS,7,94.33351985,84.29592016,81.52478447,76.51580909
71.85571429,59.6305042,31.80785714,68.14890756,11434,OVL,THCK,10,69.59398279,61.24510909,27.12027664,66.73712941
9.40655,22.1057,56.62978,69.859,784,OVL,TONW,17,9.395299828,22.12064891,57.16201186,69.8457616
33.35846154,20.04010989,63.71362637,70.68813187,4900,OVL,AONC,13,35.56414593,21.18657451,64.97074668,71.35914418
8.754895105,11.54137529,70.20452215,67.79118881,3500,OVL,THCK,14,100,100,85.34901171,98.67748252
21.83163934,35.52557377,12.30688525,57.11213115,4300,OVL,AONC,12,30.99447149,41.03504606,12.50817224,57.46737705
58.72099042,27.5999148,48.70638978,51.57030884,4300,REC,THCK,21,58.79136293,27.8457657,48.20149719,51.56716187
53.63316583,68.53577889,30.9678392,56.12542714,2805,OVL,TONS,11,53.63408598,68.53457608,28.17474831,56.12542714
53.41363023,79.14064777,72.54198381,78.56661269,1980,OVL,TONS,7,54.69367433,79.6350855,73.08599759,78.66609636
88.497,55.635,81.595,81.65,6989,MAF,THCK,8,83.85997247,71.28178182,81.21667391,78.724
100,100,65.55727273,84.59818182,25990,REC,THCK,2,99.64111916,99.68776618,65.4714747,83.41074814
93.1325,99.6485,75.9125,71.435,6300,PAO,TONW,7,93.01616906,99.58157397,76.25392166,71.4587188
76.79902,81.1388,71.84608,75.16224,8900,OVL,TONS,0,76.9618029,81.40685607,72.15787443,75.1912384
13.746,73.742,66.5335,73.011,755,OVL,THCK,9,13.74587774,73.74134193,67.48778795,73.011
10.02256944,58.61222222,26.2389916,62.36479167,733,OVL,TONS,17,10.77908657,58.26213136,24.23973705,63.48823889
8.071724138,0,37.57310345,82.20206897,1600,OVL,THCK,16,4.680985168,0,42.49424136,82.8216
62.425,60.6945,58.153,70.647,1300,OVL,TONS,11,62.75811646,60.81084027,60.17250201,70.8687432
93.77354312,94.54895105,66.17608392,44.91347319,7047,OVL,TONS,8,93.7729482,94.54857058,66.43706525,44.91347319
97.709,79,84.807,80.172,12450,MAF,THCK,3,93.46435913,89.51056742,84.82726806,76.36
82.51073034,76.76662921,62.59561798,66.73134832,14500,MAF,TONS,9,80.69451722,76.66858736,61.84887854,67.17802921
99.7675,99.8375,82.3075,86.604,10100,OVL,THCK,2,98.95408783,93.69796772,82.71763368,83.0011458
99.927,100,85.164,83.26,2600,MAF,THCK,3,93.80436525,99.6373863,84.98372768,86.013
7.1415,12.597,35.937,72.814,1100,PAO,TONW,17,7.141605638,12.59745059,32.5893273,72.814
0,67.596,41.1405,63.358,1700,OVL,TONS,19,0,68.40832013,39.60499952,62.8034056
3.764,65.0585,37.4225,65.328,930,OVL,TONS,11,3.76359189,65.05862396,32.8794994,65.328
100,100,78.41317073,88.91674797,9074,MAF,TONS,1,99.34458492,97.98871592,77.0627561,85.95870488
100,100,80.13555556,85.32888889,12200,MAF,THCK,2,96.09103398,99.38032674,79.04974204,82.073
75.99647059,55.20941177,71.704375,74.27411765,7093,OVL,THCK,5,75.88542176,55.80042647,70.72904803,74.96941177
96.1055,98.0275,81.3305,84.831,4400,OVL,TONS,4,94.94152599,99.54346791,81.48805423,80.9660176
100,100,70.95534,89.559,470,OVL,TONS,0,100,100,71.39721711,89.5469436
95.804,99.6705,76.962,67.298,4400,PAO,TONS,7,95.67817868,99.66025267,77.29368591,66.6382864
28.4255,33.1005,61.409,83.452,1100,OVL,TONS,7,28.42510214,33.10012302,62.72375392,83.452
58.7029,31.00119,73.6253,78.33,2844,OVL,AONC,9,58.50940636,30.86199826,71.90427413,78.548276
97.651,76.3,83.462,77.53,12450,MAF,THCK,3,94.86986161,89.14466866,83.95751089,66.707
89.223,95.91155,75.2196,72.8928,7037,PAO,TONW,2,88.16948454,97.2724713,73.62623471,62.9179808
62.7316,92.89812,76.61748,71.49804,2600,OVL,TONS,11,62.95167682,93.05578198,77.03803205,71.4758184
0.226872247,16.06154185,28.20995595,19.93295154,6200,PAO,TONS,15,1.035557111,19.55846041,21.209665,21.02539031
99.28,92.8825,82.871,87.786,6034,MAF,THCK,4,99.51546769,92.03984635,83.03335084,83.8261424
94.35398496,76.57368421,53.34451128,78.78917293,9100,OVL,THCK,9,90.80910385,72.15360865,71.17550102,74.87109474
99.7585,98.223,81.7345,64.54,6300,OVL,THCK,8,99.69149949,98.20740064,81.95670899,62.963015
87.8355,76.1955,71.476,77.936,3600,OVL,TONS,8,87.67813044,76.26096662,72.07350678,77.9033768
66.43838337,32.51136259,74.05778291,70.44545035,6000,OVL,TONS,10,66.91452517,35.2112506,73.91726711,70.25527483
72.295,22.628,72.68,68.204,9300,OVL,THCK,7,86.89929968,46.01227154,66.97625198,49.174
69.80180412,85.67396907,67.00953608,43.35742268,5500,OVL,TONS,11,70.06226489,85.37299995,68.50884547,43.66449897
71.88395031,68.28421118,72.79480745,78.55759006,2100,OVL,AONC,9,71.40277238,68.53749092,72.80250018,78.64128447
78.60708029,56.6790511,13.21205357,35.89591241,14002,OVL,THCK,15,78.69130552,56.06547502,4.724992985,35.99124891
6.435,72.263,54.4045,59.221,989,OVL,TONS,15,6.435399909,72.26281596,52.22226023,59.221
94.8213,86.86174,80.63794,77.17952,6300,OVL,THCK,10,94.95247234,87.06370943,80.72296532,77.2182896
98.11,97.016,54.444,84.24,9700,OVL,THCK,7,93.89472155,90.63270636,59.70831609,77.148
31.6515,20.736,62.29,77.739,1815,OVL,TONW,10,30.20021588,20.21680294,63.87214846,76.9844112
93.67,82.6,0,48.78,13100,MAF,TONS,13,100,100,72.35803489,92.12
